Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Organism Infraspecific Names Isolate	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Isolate	Assembly BioSample Host	Assembly BioSample Geographic location	Assembly BioSample Collection date	Assembly Level	Assembly Sequencing Tech	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Contig N50
GCA_045837925.1	Fusarium oxysporum f. sp. lactucae	AJ718		SAMN40926577	AJ718		Lactuca sativa	missing	missing	Contig	Oxford Nanopore GridION	62147408	39	2575747
GCA_045837975.1	Fusarium oxysporum f. sp. lactucae	AJ705		SAMN40926576	AJ705		Lactuca sativa	missing	missing	Contig	Oxford Nanopore GridION	66170021	32	2997348
GCA_045838035.1	Fusarium oxysporum f. sp. lactucae	AJ592		SAMN40926575	AJ592		Lactuca sativa	missing	missing	Contig	Oxford Nanopore GridION	66005277	36	2659995
GCA_045838055.1	Fusarium oxysporum f. sp. lactucae	AJ516		SAMN40926573	AJ516		Lactuca sativa	missing	missing	Contig	Oxford Nanopore GridION; Illumina MiSeq	68848182	37	3098212
GCA_045838095.1	Fusarium oxysporum f. sp. lactucae	AJ520		SAMN40926574	AJ520		Lactuca sativa	missing	missing	Contig	Oxford Nanopore GridION; Illumina MiSeq	62194631	40	2918645
GCA_055944325.1	Fusarium oxysporum f. sp. lactucae		JCP043	SAMN40919072		JCP043	Lactuca sativa	USA: Huron, California	not collected	Complete Genome	Oxford Nanopore PromethION; PacBio Sequel	64104511	16	4634744
GCA_055944345.1	Fusarium oxysporum f. sp. lactucae		AT141	SAMN40919090		AT141	Lactuca sativa	Spain	not collected	Complete Genome	Oxford Nanopore PromethION; PacBio	68502166	19	4695532
GCA_002233875.1	Fusarium oxysporum f. sp. lagenariae	Lag:1-1		SAMN07201018	Lag:1-1			Japan	missing	Scaffold	Illumina HiSeq	54646211	3614	196830
GCA_002234135.1	Fusarium oxysporum f. sp. lagenariae	Lag:3-1		SAMN07201017	Lag:3-1			Japan	missing	Scaffold	Illumina HiSeq	47947458	1177	262795
GCA_002234165.1	Fusarium oxysporum f. sp. lagenariae	03-05118		SAMN07201016	03-05118			Japan	missing	Scaffold	Illumina HiSeq	56087837	4652	176456
GCA_002234185.1	Fusarium oxysporum f. sp. lagenariae	01-03008		SAMN07201015	01-03008			Japan	missing	Scaffold	Illumina HiSeq	53871913	2807	230508
GCA_002234115.1	Fusarium oxysporum f. sp. lilii	Fol39		SAMN07201019	Fol39			Netherlands	missing	Scaffold	Illumina HiSeq	53381425	2661	290899
GCA_012026625.1	Fusarium oxysporum f. sp. lini	39		SAMN13050782	39	missing		Russia:Torzhok	2019-07	Contig	Oxford Nanopore MinION; Illumina HiSeq 2500	59158690	34	3351008
GCA_013423225.1	Fusarium oxysporum f. sp. lini	F329		SAMN14843948	F329		Linum usitatissimum	Russia: Torzhok	2019-06	Chromosome	Illumina	46882880	3995	36211
GCA_013423235.1	Fusarium oxysporum f. sp. lini	F324		SAMN14843947	F324		Linum usitatissimum	Russia: Torzhok	2019-06	Chromosome	Illumina	47502701	4374	34292
GCA_013423245.1	Fusarium oxysporum f. sp. lini	39		SAMN14843692	39		Linum usitatissimum	Russia: Torzhok	2019-06	Chromosome	Illumina; PacBio RS	69459321	139	1712109
GCA_013423255.1	Fusarium oxysporum f. sp. lini	F287		SAMN14843946	F287		Linum usitatissimum	Russia: Torzhok	2019-06	Chromosome	Illumina	47606148	3896	40086
GCA_013423265.1	Fusarium oxysporum f. sp. lini	F282		SAMN14843945	F282		Linum usitatissimum	Russia: Torzhok	2019-06	Chromosome	Illumina	47954392	3988	38800
GCA_019670925.1	Fusarium oxysporum f. sp. lini	482		SAMN13621855	482			Russia: Torzhok	2018-06	Scaffold	Oxford Nanopore MinION Illumina MiSeq	53252342	53	2015578
GCA_019670985.1	Fusarium oxysporum f. sp. lini	525		SAMN13621866	525			Russia: Torzhok	2018-06	Scaffold	Oxford Nanopore MinION Illumina MiSeq	62872933	124	961178
GCA_019671045.1	Fusarium oxysporum f. sp. lini	476		SAMN13621853	476			Russia: Torzhok	2018-06	Scaffold	Oxford Nanopore MinION Illumina MiSeq	65758114	68	2485313
GCA_019671085.1	Fusarium oxysporum f. sp. lini	483		SAMN13621856	483			Russia: Torzhok	2018-06	Scaffold	Oxford Nanopore MinION Illumina MiSeq	63546914	104	1551236
GCA_019671095.1	Fusarium oxysporum f. sp. lini	456		SAMN13621845	456			Russia: Torzhok	2018-06	Scaffold	Oxford Nanopore MinION Illumina MiSeq	61544961	113	1063287
GCA_002233855.1	Fusarium oxysporum f. sp. luffae	Fol-167		SAMN07201021	Fol-167			Taiwan	missing	Scaffold	Illumina HiSeq	48269233	973	273656
GCA_002234105.1	Fusarium oxysporum f. sp. luffae	Fol-114		SAMN07201020	Fol-114			Taiwan	missing	Scaffold	Illumina HiSeq	48207455	960	291315
GCA_001702875.1	Fusarium oxysporum f. sp. lycopersici	Fol004		SAMN04348786	Fol004			Netherlands	missing	Scaffold	Illumina HiSeq	51882248	3776	143056
GCA_001702905.1	Fusarium oxysporum f. sp. lycopersici	Fol007		SAMN04348787	Fol007			France	missing	Scaffold	Illumina HiSeq	51322760	3280	118633
GCA_001702935.1	Fusarium oxysporum f. sp. lycopersici	Fol026		SAMN04348791	Fol026			Australia	missing	Scaffold	Illumina HiSeq	51804621	3630	147879
GCA_001702945.1	Fusarium oxysporum f. sp. lycopersici	Fol014		SAMN04348788	Fol014			USA: Louisiana	missing	Scaffold	Illumina HiSeq	50061297	2796	160443
GCA_001702955.1	Fusarium oxysporum f. sp. lycopersici	Fol018		SAMN04348790	Fol018			USA: Louisiana	missing	Scaffold	Illumina HiSeq	48952389	2356	166597
GCA_001702995.1	Fusarium oxysporum f. sp. lycopersici	Fol016		SAMN04348789	Fol016			USA: Louisiana	missing	Scaffold	Illumina HiSeq	49575100	2587	171426
GCA_001703015.1	Fusarium oxysporum f. sp. lycopersici	Fol038		SAMN04348793	Fol038			USA: California	missing	Scaffold	Illumina HiSeq	51284040	3511	139680
GCA_001703025.2	Fusarium oxysporum f. sp. lycopersici	Fol029		SAMN04348792	Fol029			USA: Florida	missing	Contig	PacBio RSII	54202122	74	4152923
GCA_001703035.1	Fusarium oxysporum f. sp. lycopersici	Fol069		SAMN04348794	Fol069			USA: California	missing	Scaffold	Illumina HiSeq	49122294	2035	301433
GCA_001703065.1	Fusarium oxysporum f. sp. lycopersici	Fol072		SAMN04348795	Fol072			USA: California	missing	Scaffold	Illumina HiSeq	50055569	2068	288191
GCA_001703085.1	Fusarium oxysporum f. sp. lycopersici	Fol073		SAMN04348796	Fol073			USA: California	missing	Scaffold	Illumina HiSeq	51785623	3630	147320
GCA_001703105.1	Fusarium oxysporum f. sp. lycopersici	Fol074		SAMN04348797	Fol074			USA: California	missing	Scaffold	Illumina HiSeq	51532264	3741	152294
GCA_001703135.1	Fusarium oxysporum f. sp. lycopersici	Fol075		SAMN04348798	Fol075			USA: California	missing	Scaffold	Illumina HiSeq	50649194	2169	289992
GCA_001703355.1	Fusarium oxysporum f. sp. lycopersici	Fol002		SAMN04348785	Fol002			Netherlands	missing	Scaffold	Illumina HiSeq	51728674	3775	149704
GCA_003977725.1	Fusarium oxysporum f. sp. lycopersici	race 3	D11	SAMN10080742	race 3	D11	Solanum lycopersicum	USA: Yolo County, California	2010-09-07	Chromosome	PacBio RSII	57229625	38	4408267
GCA_021018635.1	Fusarium oxysporum f. sp. lycopersici	Fol59		SAMN20839061	Fol59		Solanum lycopersicum	Colombia	2020-01-20	Contig	Oxford Nanopore MinION	53285344	243	3035620
GCA_025216745.1	Fusarium oxysporum f. sp. lycopersici	VPRI44099		SAMN28868134	VPRI44099		Solanum lycopersicum	Australia: New South Wales	2002-10-11	Contig	Illumina NovaSeq	53766007	4233	179795
GCA_025216765.1	Fusarium oxysporum f. sp. lycopersici	VPRI44100		SAMN28868135	VPRI44100		Solanum lycopersicum	Australia: New South Wales	2004	Contig	Illumina NovaSeq	53923721	4344	195701
GCA_025216785.1	Fusarium oxysporum f. sp. lycopersici	VPRI44107		SAMN28868133	VPRI44107		Solanum lycopersicum	Australia: n Capital Territory, Australia	1980-04	Contig	Illumina NovaSeq	53777973	4511	182810
GCA_025217025.1	Fusarium oxysporum f. sp. lycopersici	VPRI44277		SAMN28868123	VPRI44277		Solanum lycopersicum	Australia: Queensland	1979-07-20	Contig	Illumina NovaSeq	52112349	3594	195957
GCA_025217065.1	Fusarium oxysporum f. sp. lycopersici	VPRI44275		SAMN28868121	VPRI44275		Solanum lycopersicum	Australia: Queensland	1970-09-02	Contig	Illumina NovaSeq	53864374	4648	177073
GCA_025217085.1	Fusarium oxysporum f. sp. lycopersici	VPRI44276		SAMN28868122	VPRI44276		Solanum lycopersicum	Australia: Queensland	1979-07-19	Contig	Illumina NovaSeq	53923721	4344	195701
GCA_025217105.1	Fusarium oxysporum f. sp. lycopersici	VPRI44274		SAMN28868120	VPRI44274		Solanum lycopersicum	Australia: Queensland	1970-09-02	Contig	Illumina NovaSeq	52914047	3665	185961
GCA_025217125.1	Fusarium oxysporum f. sp. lycopersici	VPRI44272		SAMN28868118	VPRI44272		Solanum lycopersicum	Australia: Queensland	2000-03-30	Contig	Illumina NovaSeq	53777973	4511	182810
GCA_025217165.1	Fusarium oxysporum f. sp. lycopersici	VPRI44273		SAMN28868119	VPRI44273		Solanum lycopersicum	Australia: Queensland	1980-02-22	Contig	Illumina NovaSeq	53166721	3990	179795
GCA_051107395.1	Fusarium oxysporum f. sp. lycopersici	RR23I/1.2		SAMN48337097	RR23I/1.2		Malus domestica	Russia: Belgorod	2023	Scaffold	Illumina MiSeq	55443015	6837	331864
GCA_060702595.1	Fusarium oxysporum f. sp. lycopersici	Fol007		SAMN04348787	Fol007			France	missing	Chromosome	Oxford Nanopore	56112191	25	4176325
GCA_061232755.1	Fusarium oxysporum f. sp. lycopersici	MAFF 103036		SAMD01933835	MAFF 103036		Solanum lycopersicum	Japan:Tsu, Mie	1979	Contig	PacBio Sequel	57292497	19	4427170
GCA_000149955.2	Fusarium oxysporum f. sp. lycopersici 4287	4287		SAMN02953675	4287					Chromosome		61386934	1362	95416
GCA_001703175.2	Fusarium oxysporum f. sp. lycopersici 4287	4287		SAMN04348901	4287			missing	missing	Contig	PacBio RSII	56213053	47	4140197
GCA_001703185.1	Fusarium oxysporum f. sp. lycopersici 4287	4287		SAMN04348901	4287			missing	missing	Contig	IonTorrent	51133091	4285	75617
GCA_003315725.1	Fusarium oxysporum f. sp. lycopersici 4287	4287		SAMN08942773	4287		Solanum lycopersicum	Spain	2016	Chromosome	Illumina HiSeq; PacBio	53866543	503	1338693
GCA_000259975.2	Fusarium oxysporum f. sp. lycopersici MN25	MN25		SAMN02981365	MN25					Scaffold	Illumina	48637398	801	435126
GCA_009755825.1	Fusarium oxysporum f. sp. matthiolae	PHW726		SAMN13192054	PHW726		Matthiola incana	USA	1974	Scaffold	Illumina MiSeq; PacBio RSII	57218285	585	766200
GCA_020796175.1	Fusarium oxysporum f. sp. matthiolae	Stocks4		SAMN07508183	Stocks4			United Kingdom: Boston	2016-06-22	Contig	Illumina MiSeq; ONT MinION	60310576	40	4528690
GCA_001652425.1	Fusarium oxysporum f. sp. medicaginis		Fom-5190a	SAMN03951876		Fom-5190a	Medicago sativa	Australia:Boonah, Queensland	1973	Scaffold	Illumina HiSeq; 454	51139932	5373	172711
GCA_025266925.1	Fusarium oxysporum f. sp. medicaginis	VPRI44256		SAMN28868102	VPRI44256		Medicago sativa	Australia: Queensland	1973-12-15	Contig	Illumina NovaSeq	52202142	3539	264981
GCA_025266945.1	Fusarium oxysporum f. sp. medicaginis	VPRI44257		SAMN28868103	VPRI44257		Medicago sativa	Australia: Queensland	1972-12-11	Contig	Illumina NovaSeq	52175630	3811	261241
GCA_001888865.1	Fusarium oxysporum f. sp. melongenae	14004		SAMN06008372	14004		eggplant	China: Guangdong	2010-10-10	Scaffold	Illumina HiSeq	53986354	2086	373752
GCA_002234085.1	Fusarium oxysporum f. sp. melongenae	J-71		SAMN07201022	J-71			missing	missing	Scaffold	Illumina HiSeq	52309290	2729	183093
GCA_001703205.2	Fusarium oxysporum f. sp. melonis	Fom005		SAMN04348768	Fom005			Spain	missing	Contig	PacBio RSII	62193398	85	3523149
GCA_001703215.1	Fusarium oxysporum f. sp. melonis	Fom004		SAMN04348767	Fom004			Spain	missing	Scaffold	Illumina HiSeq	57726895	5688	149565
GCA_001703255.1	Fusarium oxysporum f. sp. melonis	Fom006		SAMN04348769	Fom006			Spain	missing	Scaffold	Illumina HiSeq	52761534	2800	160255
GCA_001703265.1	Fusarium oxysporum f. sp. melonis	Fom009		SAMN04348770	Fom009			Israel	missing	Scaffold	Illumina HiSeq	57738397	5039	130132
GCA_001703295.1	Fusarium oxysporum f. sp. melonis	Fom011		SAMN04348772	Fom011			Israel	missing	Scaffold	Illumina HiSeq	52928865	3447	148591
GCA_001703305.1	Fusarium oxysporum f. sp. melonis	Fom010		SAMN04348771	Fom010			Israel	missing	Scaffold	Illumina HiSeq	53674587	4663	116376
GCA_001703335.1	Fusarium oxysporum f. sp. melonis	Fom013		SAMN04348774	Fom013			Spain	missing	Scaffold	Illumina HiSeq	51897170	3355	164640
GCA_001703345.1	Fusarium oxysporum f. sp. melonis	Fom012		SAMN04348773	Fom012			missing	missing	Scaffold	Illumina HiSeq	52601880	3306	167941
GCA_001703365.1	Fusarium oxysporum f. sp. melonis	Fom016		SAMN04348775	Fom016			missing	missing	Scaffold	Illumina HiSeq	52942496	3414	171677
GCA_020975805.1	Fusarium oxysporum f. sp. melonis	ICMP 8357		SAMN13622837	ICMP 8357		missing	New Zealand	missing	Scaffold	Illumina HiSeq	53311469	2796	227297
GCA_020975825.1	Fusarium oxysporum f. sp. melonis	JCM 9289		SAMN13622836	JCM 9289		Cucumis melo	Japan: Kumamoto Pref	missing	Scaffold	Illumina HiSeq	52987294	3174	184082
GCA_020975845.1	Fusarium oxysporum f. sp. melonis	JCM 9288		SAMN13622835	JCM 9288		Cucumis melo	Japan: Nagasaki Pref	missing	Scaffold	Illumina HiSeq	51037389	2763	131990
GCA_020975875.1	Fusarium oxysporum f. sp. melonis	NRRL 26174		SAMN13622834	NRRL 26174		missing	China	missing	Scaffold	Illumina HiSeq	56489192	5557	92304
GCA_020975915.1	Fusarium oxysporum f. sp. melonis	NRRL 26172		SAMN13622833	NRRL 26172		missing	China	missing	Scaffold	Illumina HiSeq	54264969	3578	206473
GCA_020975975.1	Fusarium oxysporum f. sp. melonis	NRRL 22521		SAMN13622832	NRRL 22521		Cucumis melo	Belgium	missing	Scaffold	Illumina HiSeq	55114950	4323	208670
GCA_020975985.1	Fusarium oxysporum f. sp. melonis	TST		SAMN13622830	TST		missing	France	missing	Scaffold	Illumina HiSeq	52345905	3302	207815
GCA_020975995.1	Fusarium oxysporum f. sp. melonis	ATCC 32669		SAMN13622831	ATCC 32669		Cucumis melo	USA: Michigan	missing	Scaffold	Illumina HiSeq	53144991	2530	225249
GCA_020976025.1	Fusarium oxysporum f. sp. melonis	D-Oleon-8		SAMN13622829	D-Oleon-8		missing	France	missing	Scaffold	Illumina HiSeq	55865942	5614	100373
GCA_020976035.1	Fusarium oxysporum f. sp. melonis	Fom0125		SAMN13622828	Fom0125		missing	Spain	missing	Scaffold	Illumina HiSeq	55081272	4138	182079
GCA_020976075.1	Fusarium oxysporum f. sp. melonis	Taip2a		SAMN13622826	Taip2a		Cucumis melo	Iran: Taibad-Khorasan	missing	Scaffold	Illumina HiSeq	55356197	5337	135164
GCA_020976085.1	Fusarium oxysporum f. sp. melonis	Tai3		SAMN13622825	Tai3		Cucumis melo	Iran: Taibad-Khorasan	missing	Scaffold	Illumina HiSeq	55681520	5235	139021
GCA_020976095.1	Fusarium oxysporum f. sp. melonis	T61/1		SAMN13622824	T61/1		Cucumis melo	Japan	missing	Scaffold	Illumina HiSeq	52393848	3081	160174
GCA_020976115.1	Fusarium oxysporum f. sp. melonis	Seif3a		SAMN13622823	Seif3a		Cucumis melo	Iran: Seifabad-Fars	missing	Scaffold	Illumina HiSeq	55194891	4132	148187
GCA_020976145.1	Fusarium oxysporum f. sp. melonis	NYFom62		SAMN13622820	NYFom62		Cucumis melo	USA	missing	Scaffold	Illumina HiSeq	54854744	3992	222509
GCA_020976165.1	Fusarium oxysporum f. sp. melonis	R12/13		SAMN13622822	R12/13		Cucumis melo	France	missing	Scaffold	Illumina HiSeq	56152043	5828	96139
GCA_020976175.1	Fusarium oxysporum f. sp. melonis	Nasr1		SAMN13622818	Nasr1		Cucumis melo	Iran: Nasrabad-Khorasan	missing	Scaffold	Illumina HiSeq	55910114	5367	124524
GCA_020976195.1	Fusarium oxysporum f. sp. melonis	Mah9a		SAMN13622817	Mah9a		Cucumis melo	Iran: Maharloo-Fars	missing	Scaffold	Illumina HiSeq	55608936	3997	177993
GCA_020976235.1	Fusarium oxysporum f. sp. melonis	Khaf1		SAMN13622815	Khaf1		Cucumis melo	Iran: Khaf-Khorasan	missing	Scaffold	Illumina HiSeq	55763912	5327	133027
GCA_020976245.1	Fusarium oxysporum f. sp. melonis	I1/1		SAMN13622813	I1/1		Cucumis melo	Israel	missing	Scaffold	Illumina HiSeq	56249990	5591	153223
GCA_020976255.1	Fusarium oxysporum f. sp. melonis	FomGol		SAMN13622811	FomGol		Carthamus oxyacanthus	Iran: Maharloo-Fars	missing	Scaffold	Illumina HiSeq	55598548	4320	161010
GCA_020976275.1	Fusarium oxysporum f. sp. melonis	Busherh-2s		SAMN13622810	Busherh-2s		Cucumis melo	Iran: Bushehr	missing	Scaffold	Illumina HiSeq	54988850	3790	169425
GCA_020976345.1	Fusarium oxysporum f. sp. melonis	660A/17		SAMN13622809	660A/17		Cucumis melo	France	missing	Scaffold	Illumina HiSeq	51233710	3422	238735
GCA_020976355.1	Fusarium oxysporum f. sp. melonis	10390		SAMN13622839	10390		missing	Netherlands	missing	Scaffold	Illumina HiSeq	55744694	4644	185157
GCA_020976365.1	Fusarium oxysporum f. sp. melonis	Yazd2		SAMN13622827	Yazd2		Cucumis melo	Iran: Yazd	missing	Scaffold	Illumina HiSeq	55333752	3985	211317
GCA_020976375.1	Fusarium oxysporum f. sp. melonis	50798		SAMN13622838	50798		Cucumis melo	missing	missing	Scaffold	Illumina HiSeq	55295285	4076	200244
GCA_020976425.1	Fusarium oxysporum f. sp. melonis	NYFom3		SAMN13622819	NYFom3		Cucumis melo	USA	missing	Scaffold	Illumina HiSeq	53404370	2679	231349
GCA_020976435.1	Fusarium oxysporum f. sp. melonis	P13		SAMN13622821	P13		Cucumis melo	Iran: Poshtpar-Fars	missing	Scaffold	Illumina HiSeq	54924008	3935	174084
GCA_020976445.1	Fusarium oxysporum f. sp. melonis	Kavar 22		SAMN13622814	Kavar 22		Cucumis melo	Iran: Kavar-Fars	missing	Scaffold	Illumina HiSeq	55363759	3850	185615
GCA_020976455.1	Fusarium oxysporum f. sp. melonis	KT2a		SAMN13622816	KT2a		Cucumis melo	Iran: Kashmar-Khorasan	missing	Scaffold	Illumina HiSeq	55179932	4156	204921
GCA_020976485.1	Fusarium oxysporum f. sp. melonis	I-17		SAMN13622812	I-17		Cucumis melo	Iran: Khorasan	missing	Scaffold	Illumina HiSeq	55260869	3969	211184
GCA_020976505.1	Fusarium oxysporum f. sp. melonis	18L		SAMN13622808	18L		Cucumis melo	USA	missing	Scaffold	Illumina HiSeq	51818354	2383	235667
GCA_020976525.1	Fusarium oxysporum f. sp. melonis	Pathtah		SAMN13622804	Pathtah		Alhagi maurorum	Iran: Maharloo-Fars	missing	Scaffold	Illumina HiSeq	54501320	3833	181795
GCA_025216565.1	Fusarium oxysporum f. sp. melonis	VPRI44109		SAMN28868142	VPRI44109		Cucumis melo L.	Australia: New South Wales	2014	Contig	Illumina NovaSeq	54665772	5583	251155
GCA_025216605.1	Fusarium oxysporum f. sp. melonis	VPRI44106		SAMN28868143	VPRI44106		Cucumis melo L.	Australia: New South Wales	2014	Contig	Illumina NovaSeq	56097152	6617	211900
GCA_025216625.1	Fusarium oxysporum f. sp. melonis	VPRI44292		SAMN28868144	VPRI44292		Cucumis melo L.	Australia: New South Wales	2014	Contig	Illumina NovaSeq	55866788	6788	202360
GCA_025216645.1	Fusarium oxysporum f. sp. melonis	VPRI44105		SAMN28868141	VPRI44105		Cucumis melo L.	Australia: New South Wales	2016-01-11	Contig	Illumina NovaSeq	56314410	6277	217208
GCA_025216665.1	Fusarium oxysporum f. sp. melonis	VPRI44104		SAMN28868139	VPRI44104		Cucumis melo L.	Australia: New South Wales	2013	Contig	Illumina NovaSeq	56397773	6039	217174
GCA_025216685.1	Fusarium oxysporum f. sp. melonis	VPRI44101		SAMN28868136	VPRI44101		Cucumis melo L. s.lat.	missing	missing	Contig	Illumina NovaSeq	53985895	4478	211046
GCA_025216705.1	Fusarium oxysporum f. sp. melonis	VPRI44103		SAMN28868138	VPRI44103		Cucumis melo L.	Australia: New South Wales	2013	Contig	Illumina NovaSeq	56122368	6093	232514
GCA_025216725.1	Fusarium oxysporum f. sp. melonis	VPRI44102		SAMN28868137	VPRI44102		Cucumis melo L.	Australia: New South Wales	2013	Contig	Illumina NovaSeq	56449049	6377	228009
GCA_025216805.1	Fusarium oxysporum f. sp. melonis	VPRI44108		SAMN28868140	VPRI44108		Cucumis melo L.	Australia: New South Wales	2013	Contig	Illumina NovaSeq	55625270	5724	239031
GCA_060702455.1	Fusarium oxysporum f. sp. melonis	10390		SAMN13622839	10390		missing	Netherlands	missing	Scaffold	Illumina; Oxford Nanopore	55143533	3249	201855
GCA_060702475.1	Fusarium oxysporum f. sp. melonis	Fom009		SAMN04348770	Fom009			Israel	missing	Scaffold	Illumina; Oxford Nanopore	58172926	4860	130085
GCA_060702495.1	Fusarium oxysporum f. sp. melonis	Taip2a		SAMN13622826	Taip2a		Cucumis melo	Iran: Taibad-Khorasan	missing	Scaffold	Illumina; Oxford Nanopore	56019813	4290	135189
GCA_060702515.1	Fusarium oxysporum f. sp. melonis	Tai3		SAMN13622825	Tai3		Cucumis melo	Iran: Taibad-Khorasan	missing	Scaffold	Illumina; Oxford Nanopore	56351218	4216	140224
GCA_060702535.1	Fusarium oxysporum f. sp. melonis	Khaf1		SAMN13622815	Khaf1		Cucumis melo	Iran: Khaf-Khorasan	missing	Scaffold	Illumina; Oxford Nanopore	56427253	4207	134118
GCA_060702555.1	Fusarium oxysporum f. sp. melonis	Nasr1		SAMN13622818	Nasr1		Cucumis melo	Iran: Nasrabad-Khorasan	missing	Scaffold	Illumina; Oxford Nanopore	56536374	4280	123620
GCA_060702575.1	Fusarium oxysporum f. sp. melonis	18L		SAMN13622808	18L		Cucumis melo	USA	missing	Scaffold	Illumina; Oxford Nanopore	52010769	1816	240914
GCA_060702605.1	Fusarium oxysporum f. sp. melonis	D-Oleon-8		SAMN13622829	D-Oleon-8		missing	France	missing	Contig	Oxford Nanopore	65103928	57	3694426
GCA_000260495.2	Fusarium oxysporum f. sp. melonis 26406	26406		SAMN02981378	26406					Scaffold	Illumina	54034280	1825	429961
GCA_002318975.1	Fusarium oxysporum f. sp. melonis 26406	26406		SAMN02981378	26406					Contig	PacBio	60704002	96	4357482
GCA_002233795.1	Fusarium oxysporum f. sp. momordicae	90NF2-1		SAMN07201024	90NF2-1			Japan	missing	Scaffold	Illumina HiSeq	51037667	1763	170594
GCA_002233865.1	Fusarium oxysporum f. sp. momordicae	NRRL26413		SAMN07201023	NRRL26413			Taiwan	missing	Scaffold	Illumina HiSeq	51519132	2123	215745
GCA_016165945.1	Fusarium oxysporum f. sp. mori	GL1804		SAMN13063990	GL1804		blackberry	USA: near Watsonville city, California	2015	Scaffold	Illumina HiSeq	51607877	1184	321770
GCA_051622415.1	Fusarium oxysporum f. sp. mori		RF12	SAMN48991551		RF12		USA: Arkansas	2023	Scaffold	Illumina	47987622	412	455152
GCA_051622495.1	Fusarium oxysporum f. sp. mori		RF7	SAMN48991550		RF7		USA: Arkansas	2023	Scaffold	Illumina	47952123	491	426180
GCA_051622515.1	Fusarium oxysporum f. sp. mori		RF4	SAMN48991549		RF4		USA: Arkansas	2023	Scaffold	Illumina	47967655	449	431487
GCA_051622595.1	Fusarium oxysporum f. sp. mori		RF2	SAMN48991548		RF2		USA: Arkansas	2023	Scaffold	Illumina	47740797	634	431486
GCA_002233775.1	Fusarium oxysporum f. sp. narcissi	Na5		SAMN07201025	Na5			Netherlands	missing	Scaffold	Illumina HiSeq	55524989	5603	237836
GCA_004141715.1	Fusarium oxysporum f. sp. narcissi	N139		SAMN05526391	N139		Narcissus	United Kingdom	2013	Scaffold	Illumina MiSeq	57517562	4374	180976
GCA_045837865.1	Fusarium oxysporum f. sp. narcissi	AJ275		SAMN40926572	AJ275		Narcissus sp.	missing	missing	Contig	Oxford Nanopore GridION; Illumina MiSeq	59641877	34	4079900
GCA_002233785.1	Fusarium oxysporum f. sp. nicotianae	Ft-Rob		SAMN07201028	Ft-Rob			USA: North Carolina	missing	Scaffold	Illumina HiSeq	49768185	2133	479089
GCA_002234015.1	Fusarium oxysporum f. sp. nicotianae	Ft-1512		SAMN07201029	Ft-1512			USA: North Carolina	missing	Scaffold	Illumina HiSeq	51041051	1665	315300
GCA_002234045.1	Fusarium oxysporum f. sp. nicotianae	10913		SAMN07201027	10913			USA: Maryland	missing	Scaffold	Illumina HiSeq	49999751	1087	644656
GCA_002234055.1	Fusarium oxysporum f. sp. nicotianae	FON-1		SAMN07201026	FON-1			USA: Connecticut	missing	Scaffold	Illumina HiSeq	50161196	1141	535479
GCA_001702505.1	Fusarium oxysporum f. sp. niveum	Fon005		SAMN04348777	Fon005			USA: Texas	missing	Scaffold	Illumina	54718192	4614	149338
GCA_001702715.1	Fusarium oxysporum f. sp. niveum	Fon019		SAMN04348781	Fon019			USA: Texas	1981	Scaffold	Illumina HiSeq	49724550	2426	211936
GCA_001702745.1	Fusarium oxysporum f. sp. niveum	Fon002		SAMN04348776	Fon002			Israel	1986	Scaffold	Illumina HiSeq	51974307	3046	154685
GCA_001702775.1	Fusarium oxysporum f. sp. niveum	Fon013		SAMN04348779	Fon013			USA: Maryland	missing	Scaffold	Illumina HiSeq	54215963	4436	149777
GCA_001702785.1	Fusarium oxysporum f. sp. niveum	Fon010		SAMN04348778	Fon010			USA: Maryland	missing	Scaffold	Illumina HiSeq	55471499	5008	174530
GCA_001702795.1	Fusarium oxysporum f. sp. niveum	Fon015		SAMN04348780	Fon015			USA: Maryland	missing	Scaffold	Illumina HiSeq	52059009	3347	171352
GCA_001702805.1	Fusarium oxysporum f. sp. niveum	Fon020		SAMN04348782	Fon020			USA: Delaware	missing	Scaffold	Illumina HiSeq	55127542	5085	150381
GCA_001702845.1	Fusarium oxysporum f. sp. niveum	Fon037		SAMN04348784	Fon037			Israel	missing	Scaffold	Illumina HiSeq	51293917	2664	168855
GCA_001702865.1	Fusarium oxysporum f. sp. niveum	Fon021		SAMN04348783	Fon021			USA: Maryland	2007	Scaffold	Illumina HiSeq	54799100	4373	142786
GCA_014602775.1	Fusarium oxysporum f. sp. niveum	R2		SAMN15791674	R2		Citrullus lanatus	USA: GA	2019-09	Scaffold	Illumina NovaSeq	54074873	6189	155628
GCA_014602795.1	Fusarium oxysporum f. sp. niveum	R3		SAMN15791675	R3		Citrullus lanatus	USA: GA	2019-09	Scaffold	Illumina NovaSeq	55220015	7235	140576
GCA_014602815.1	Fusarium oxysporum f. sp. niveum	R1		SAMN15791673	R1		Citrullus lanatus	USA: GA	2019-09	Scaffold	Illumina NovaSeq	61207430	8805	135561
